Set_Number,Start_Code_Point,End_Code_Point,Project_Name,Owner,Status,Description
2,U+E000,U+E81F,Constantscript,u/Constant_Ad_5890 (_4olhos) & Discord Server,Active,Maintained by the Constantscript Discord server. Issue initiated by u/Fyteria (Abytherus).
2,U+E820,U+F8FF,OPEN_SANDBOX,NONE,Waiting for Submissions,Parallel BMP Private Use Area layer. Remaining open sandbox real estate.
2,U+F0000,U+FFFFF,OPEN_SANDBOX,NONE,Waiting for Submissions,Parallel Plane 15 SPUA-A layer. Available for isolated testing.
2,U+100000,U+10FFFF,OPEN_SANDBOX,NONE,Waiting for Submissions,Parallel Plane 16 SPUA-B layer. Available for isolated testing.
